Id,quality
222,5
1514,5
417,5
754,5
516,7
1120,7
180,5
82,5
632,6
592,5
501,7
1586,6
1096,5
1101,6
1488,6
700,5
631,6
1022,6
1420,5
882,7
1170,6
911,7
124,5
1417,6
681,5
63,5
1010,6
418,6
399,5
1265,6
999,6
452,6
347,7
778,6
607,6
32,5
511,5
1035,6
1270,6
723,6
838,6
485,5
142,6
1470,5
1238,5
158,5
426,6
344,6
637,5
1578,6
944,7
469,5
148,6
279,6
1144,6
509,6
1073,6
1423,6
280,6
848,5
650,5
1092,6
76,6
1302,6
1148,6
100,5
533,7
1328,5
253,5
1344,6
544,5
352,5
1367,6
1300,6
635,5
750,5
1479,6
476,6
1355,5
546,5
196,5
1210,6
43,6
1013,5
1378,5
471,6
1410,6
1004,6
740,6
697,5
127,5
1069,6
1319,5
741,5
626,5
621,5
1195,5
339,6
556,7
162,6
1555,6
695,6
457,5
1045,6
12,5
524,5
489,6
453,6
1282,6
423,6
290,6
744,5
435,5
955,6
1055,5
819,5
302,5
455,7
1274,6
710,5
1568,5
72,5
156,5
86,6
1252,5
1280,6
1130,6
1499,6
1434,4
564,7
1559,5
396,5
1081,5
293,6
652,7
1312,5
120,5
220,5
1391,6
1324,6
492,7
427,5
596,5
771,5
538,7
107,5
1436,5
193,5
1370,5
843,5
506,6
388,5
197,6
655,5
1508,6
799,6
194,5
1414,6
1059,7
1487,6
565,6
1333,5
1250,6
871,6
421,6
1336,5
1224,6
813,6
249,6
721,5
1026,6
781,5
808,5
809,5
111,5
766,5
1070,6
497,6
292,6
1529,6
1060,6
56,5
42,6
1535,5
190,5
79,5
1219,6
1384,5
269,6
833,6
1379,6
551,6
947,7
3,6
934,6
749,5
1553,5
1036,7
1107,6
1168,6
1577,6
1291,6
578,5
85,5
1089,6
366,5
90,5
752,5
1590,6
617,6
146,5
241,6
790,5
1116,6
392,5
770,5
395,7
306,5
416,6
512,6
729,6
1415,6
677,5
793,6
94,5
466,6
96,5
325,4
1359,6
16,6
1076,6
900,6
1556,5
1057,5
877,6
953,7
1400,5
1127,6
260,5
608,5
1549,6
376,6
1048,6
1485,5
1471,6
1110,6
1493,5
1019,6
1078,7
1152,5
1395,5
1277,5
1321,6
1234,6
412,5
1111,6
335,7
1526,5
2,5
6,5
1281,6
745,5
1008,7
298,5
415,5
736,5
679,5
1220,6
439,5
989,6
500,5
1053,7
611,5
1335,6
595,5
361,6
35,5
1237,6
67,6
155,5
80,5
1147,7
296,5
170,5
1439,6
946,7
